"Id","SalePrice"
1461,140631.016426551
1462,166319.191627582
1463,180258.613836698
1464,201886.122054158
1465,199315.916057763
1466,173207.614665494
1467,156481.378811916
1468,173175.268327154
1469,183913.990118238
1470,116519.661224835
1471,202852.351764186
1472,96651.1223415045
1473,92533.7894476597
1474,142225.265595539
1475,140382.985026321
1476,369240.82789083
1477,275681.015534868
1478,312366.73535106
1479,347801.978677345
1480,445905.041596155
1481,293464.207823194
1482,217414.754487831
1483,213510.217504493
1484,170887.753086703
1485,224351.166871985
1486,212072.324876679
1487,411801.423895565
1488,239128.240975135
1489,265588.388227374
1490,207245.641097718
1491,209606.314784843
1492,90852.3165969565
1493,221198.174327259
1494,271518.178143906
1495,265677.971614656
1496,198858.970670218
1497,175417.015180879
1498,149373.363003778
1499,157954.359586898
1500,156270.25628561
1501,152337.38572144
1502,165824.276768946
1503,308498.547218995
1504,246100.040687185
1505,209158.1851331
1506,152539.807707628
1507,206313.538062225
1508,206015.440146913
1509,153319.234684132
1510,138940.263145429
1511,130814.575614996
1512,145707.829396678
1513,161196.743211139
1514,148244.037646775
1515,159216.735304086
1516,139743.639063636
1517,162943.006376367
1518,138390.034944956
1519,199021.427059584
1520,124364.140451442
1521,133666.21654266
1522,159524.986568941
1523,120821.20837207
1524,131413.071693806
1525,135494.701689756
1526,137207.75427897
1527,102285.502218937
1528,119793.188307509
1529,139324.922899829
1530,155342.341216507
1531,94459.4434619732
1532,69718.4622537617
1533,135007.643921367
1534,118948.132625068
1535,144792.995106382
1536,113142.802143982
1537,66881.4366768074
1538,171067.207633198
1539,175371.375215602
1540,76960.79034125
1541,147758.582527561
1542,124787.579070961
1543,186191.280205451
1544,85178.6103712683
1545,120645.439019896
1546,140071.624625148
1547,139607.717302401
1548,119819.042134887
1549,114661.709910467
1550,118001.512542195
1551,90686.7677884111
1552,123912.014006719
1553,151555.668230837
1554,108212.066123808
1555,163814.469564976
1556,91232.434114515
1557,98438.1346709438
1558,99334.7567223497
1559,57165.6255187326
1560,118077.335546542
1561,104193.448259005
1562,135700.927954324
1563,121384.559364723
1564,136818.64186765
1565,156557.838198835
1566,237685.593474992
1567,87378.4480335775
1568,219014.322839537
1569,128610.760054979
1570,169995.333712156
1571,129443.690540385
1572,126665.747496324
1573,285602.481485447
1574,109224.256388297
1575,275530.208297547
1576,207202.121697326
1577,218975.035424473
1578,168115.85784949
1579,152989.966084031
1580,197528.452538222
1581,158490.830654319
1582,120541.530432832
1583,287371.987255378
1584,221922.334867748
1585,142195.030552741
1586,72442.3831376713
1587,127247.996878839
1588,133291.437325388
1589,107253.792548661
1590,139220.374246219
1591,89886.4754708706
1592,80421.7157191053
1593,118009.857974963
1594,127160.11544925
1595,115951.77880379
1596,196587.37673486
1597,142393.000747055
1598,261281.006505363
1599,194696.826576142
1600,185856.250818481
1601,70126.1887512567
1602,119575.717415295
1603,77016.97471559
1604,227415.396239875
1605,277094.772996991
1606,163839.287161527
1607,151308.001671056
1608,222865.856099041
1609,213425.332139367
1610,161764.605705053
1611,156311.473871926
1612,171494.697093536
1613,161655.700477615
1614,119076.750766465
1615,85356.3823845421
1616,78254.0090070695
1617,88308.5897391603
